Carleton, In Tune	03/22/18 8:00:00am CDT	03/22/18 8:16:00am CDT
U MN Morris, Detachment	03/22/18 8:18:00am CDT	03/22/18 8:34:00am CDT
UNI, Elemental	03/22/18 8:36:00am CDT	03/22/18 8:52:00am CDT
UNI, Justify	03/22/18 8:54:00am CDT	03/22/18 9:10:00am CDT
UW River Falls, unTitled IX	03/22/18 9:12:00am CDT	03/22/18 9:28:00am CDT
UW River Falls, My Hell…	03/22/18 9:30:00am CDT	03/22/18 9:46:00am CDT
UW Madison, Lost In Translation	03/22/18 9:48:00am CDT	03/22/18 10:04:00am CDT
UW Madison, The Other and One	03/22/18 10:06:00am CDT	03/22/18 10:22:00am CDT
Columbia, Gravity Falls	03/22/18 2:02:00pm CDT	03/22/18 2:18:00pm CDT
Columbia, Who R U?	03/22/18 2:20:00pm CDT	03/22/18 2:36:00pm CDT
Gustavus, From One Place…	03/22/18 2:38:00pm CDT	03/22/18 2:54:00pm CDT
Gustavus, Room 31	03/22/18 2:56:00pm CDT	03/22/18 3:12:00pm CDT
Hamline, V(ulnerable)	03/22/18 3:14:00pm CDT	03/22/18 3:30:00pm CDT
Hamline, Finding Home	03/22/18 3:32:00pm CDT	03/22/18 3:48:00pm CDT
U NE, One of Two Circles	03/22/18 3:50:00pm CDT	03/22/18 4:06:00pm CDT
U NE, Your Thumb is Always…	03/22/18 4:08:00pm CDT	03/22/18 4:24:00pm CDT
U IA, In Air to the Bone	03/22/18 4:26:00pm CDT	03/22/18 4:42:00pm CDT
U IA, Mommie Queerest	03/22/18 4:44:00pm CDT	03/22/18 5:00:00pm CDT
Beloit, THE CHROMATIC GOSPEL	03/23/18 8:00:00am CDT	03/23/18 8:16:00am CDT
Beloit, 2mi via I-80 W	03/23/18 8:18:00am CDT	03/23/18 8:34:00am CDT
IA State, HEAR/HERE	03/23/18 8:36:00am CDT	03/23/18 8:52:00am CDT
IA State, Alpi	03/23/18 8:54:00am CDT	03/23/18 9:10:00am CDT
Irvine Valley, Unwavering Struggle	03/23/18 9:12:00am CDT	03/23/18 9:28:00am CDT
Irvine Valley, For Who	03/23/18 9:30:00am CDT	03/23/18 9:46:00am CDT
UW Milwaukee, Interrobang…	03/23/18 9:48:00am CDT	03/23/18 10:04:00am CDT
UW Milwaukee, To Do:	03/23/18 10:06:00am CDT	03/23/18 10:22:00am CDT
Winona State, Xx	03/23/18 10:24:00am CDT	03/23/18 10:40:00am CDT
Winona State, Ask the Moon	03/23/18 10:42:00am CDT	03/23/18 10:58:00am CDT
Lindenwood, 12/29/2014	03/23/18 3:30:00pm CDT	03/23/18 3:46:00pm CDT
Lindenwood, Orange NJ	03/23/18 3:48:00pm CDT	03/23/18 4:04:00pm CDT
UW Whitewater, The Study of Wind	03/23/18 4:06:00pm CDT	03/23/18 4:22:00pm CDT
UW Whitewater, Mechanism	03/23/18 4:24:00pm CDT	03/23/18 4:40:00pm CDT
St. Olaf, After the Fall	03/23/18 4:42:00pm CDT	03/23/18 4:58:00pm CDT
St. Olaf, Kalopsia	03/23/18 5:00:00pm CDT	03/23/18 5:16:00pm CDT
U Minn., Unfolding Supports	03/23/18 5:18:00pm CDT	03/23/18 5:34:00pm CDT
U Minn., A Note to a Friend	03/23/18 5:36:00pm CDT	03/23/18 5:52:00pm CDT
Macalester, I Cling To	03/23/18 5:54:00pm CDT	03/23/18 6:10:00pm CDT
Macalester, Just Her Time	03/23/18 6:12:00pm CDT	03/23/18 6:28:00pm CDT
Alma College, Eight Cartographies	03/24/18 8:00:00am CDT	03/24/18 8:16:00am CDT
Alma College, …Indivisible by Chemical…	03/24/18 8:18:00am CDT	03/24/18 8:34:00am CDT
Casper College, Asphyxiate	03/24/18 8:36:00am CDT	03/24/18 8:52:00am CDT
El Camino, Cubesthism	03/24/18 8:54:00am CDT	03/24/18 9:10:00am CDT
MI State/Alma, Maculelé Revisited	03/24/18 9:12:00am CDT	03/24/18 9:28:00am CDT
MN St. Mankato, Peek	03/24/18 9:30:00am CDT	03/24/18 9:46:00am CDT
MN St. Mankato, Substance	03/24/18 9:48:00am CDT	03/24/18 10:04:00am CDT
UW Stevens Point, For Those In Need…	03/24/18 10:06:00am CDT	03/24/18 10:22:00am CDT
UW Stevens Point, Incandescence	03/24/18 10:24:00am CDT	03/24/18 10:40:00am CDT
Slater->Easy Expression, 	03/24/18 3:30:00pm CDT	03/24/18 3:46:00pm CDT
Kate Corby->Giving Way, 	03/24/18 3:48:00pm CDT	03/24/18 4:04:00pm CDT
Piper Morgan Hayes->Things..., 	03/24/18 4:06:00pm CDT	03/24/18 4:22:00pm CDT
Michel Koukou->Conversation..., 	03/24/18 4:24:00pm CDT	03/24/18 4:40:00pm CDT
Heather Klopchin->Ferdouganal, 	03/24/18 4:42:00pm CDT	03/24/18 4:58:00pm CDT
Aaron Wood->, 	03/24/18 5:00:00pm CDT	03/24/18 5:16:00pm CDT
Marlene Skog->Her Eyes..., 	03/24/18 5:18:00pm CDT	03/24/18 5:34:00pm CDT
Cynthia Adams->Marching Backward, 	03/24/18 5:36:00pm CDT	03/24/18 5:52:00pm CDT
